"os_id","contribution_date","name","address","country_code","country_name","lat","lng","sector","contributor (list)","number_of_workers","parent_company","processing_type_facility_type_raw","facility_type","processing_type","product_type","is_closed"
"IN2023265H7NQ7P","2023-09-22","Wilmar International Ltd, Hazira","Survey No 77, 68, 79 & 81, Shivrampur Village, Suvali, Tauka: Chorasi, Hazira Surat - 394510, Gujarat State, India","IN","India",21.1470734,72.639273,"Agriculture|Food|Food & Beverage|Food Industry|Food Manufacturing","NDPE [Public List] (NDPE Implementation Reporting Framework (IRF) September 2023 Refinery Facility List)|An Auditor / Certification Scheme / Service Provider|Roundtable on Sustainable Palm Oil (RSPO) [Public List] (Roundtable on Sustainable Palm Oil September 2022)","","Wilmar","Refinery | Manufacturing Plant","","Refinery|Manufacturing Plant","","False"
"IN2023265WZPPVD","2023-09-22","Wilmar International Ltd, Kakinada","Suryarao peta (via), 3 APSP Camp (SO), Thammavaram Post, Kakinada – 533005, Andhra Pradesh, India","IN","India",17.0082753,82.25153929999999,"Food|Food & Beverage|Food Industry|Food Manufacturing","NDPE [Public List] (NDPE Implementation Reporting Framework (IRF) September 2023 Refinery Facility List)","","Wilmar","Refinery | Manufacturing Plant","","Refinery|Manufacturing Plant","","False"
"IN2022300YXBJKB","2023-09-22","Wilmar International Ltd, Krishnapatnam","Survey No 292 & 317, Pantapalam Village, Muthukuru Mandal, Sri Pottisriramulu, Nellore 524 323, Andhra Pradesh, India","IN","India",14.257,80.054,"Agriculture|Food|Food & Beverage|Food Industry|Food Manufacturing","An Auditor / Certification Scheme / Service Provider|NDPE [Public List] (NDPE Implementation Reporting Framework (IRF) September 2023 Refinery Facility List)|An Auditor / Certification Scheme / Service Provider|Roundtable on Sustainable Palm Oil (RSPO) [Public List] (Roundtable on Sustainable Palm Oil September 2022)","","Wilmar","Refinery | Manufacturing Plant","","Refinery|Manufacturing Plant","","False"
"IN2023265Y98T0M","2023-09-22","Wilmar International Ltd, Mangalore","Survey no 5,6,7&11, Baikampady Industrial Area, Mangalore - 575011, Karnataka - India","IN","India",12.9425802,74.8165817,"Agriculture|Food|Food & Beverage|Food Industry|Food Manufacturing","NDPE [Public List] (NDPE Implementation Reporting Framework (IRF) September 2023 Refinery Facility List)|An Auditor / Certification Scheme / Service Provider|Roundtable on Sustainable Palm Oil (RSPO) [Public List] (Roundtable on Sustainable Palm Oil September 2022)","","Wilmar","Refinery | Manufacturing Plant","","Refinery|Manufacturing Plant","","False"
"IN2023265CXZ6C5","2023-09-22","Wilmar International Ltd, Mundra","Post Box No.2, Village: Dhrub, Taluka Mundra370421, District Kutch, Gujarat, India","IN","India",23.7337326,69.8597406,"Food|Food & Beverage|Food Industry|Food Manufacturing","NDPE [Public List] (NDPE Implementation Reporting Framework (IRF) September 2023 Refinery Facility List)","","Wilmar","Refinery | Manufacturing Plant","","Refinery|Manufacturing Plant","","False"
"MY2022299WM9430","2023-10-23","Wilmar Kuantan Edible Oils Sdn Bhd","Lot 1A, Kawasan Perindustrian Gebeng 26080 Kuantan Pahang Malaysia","MY","Malaysia",3.975563,103.391672,"Agriculture|Food|Food & Beverage|Food Industry|Food Manufacturing","An Auditor / Certification Scheme / Service Provider|An Auditor / Certification Scheme / Service Provider|NDPE [Public List] (NDPE Implementation Reporting Framework (IRF) September 2023 Refinery Facility List)|An Auditor / Certification Scheme / Service Provider|Roundtable on Sustainable Palm Oil (RSPO) [Public List] (Roundtable on Sustainable Palm Oil September 2022)","","Wilmar|Wilmar International Limited","Refinery | Manufacturing Plant","","Refinery|Manufacturing Plant","","False"
"US2022300K2FAHG","2023-09-22","Wilmar Oils & Fats (Stockton) LLC","2008 Port Road B Stockton, CA 95203, United States of America","US","United States",37.95031609999999,-121.3204244,"Agriculture|Food|Food & Beverage|Food Industry|Food Manufacturing","An Auditor / Certification Scheme / Service Provider|NDPE [Public List] (NDPE Implementation Reporting Framework (IRF) September 2023 Refinery Facility List)|An Auditor / Certification Scheme / Service Provider|Roundtable on Sustainable Palm Oil (RSPO) [Public List] (Roundtable on Sustainable Palm Oil September 2022)","","Wilmar|Wilmar International Limited","Refinery | Manufacturing Plant","","Refinery|Manufacturing Plant","","False"
"NL20232653P7G75","2023-09-22","Wilmar Oleochemicals BV","Merseyweg 10 (Harbour no. 5210), 3197 KG Botlek-Rotterdam, the Netherlands","NL","Netherlands",51.8859198,4.2568595,"Food|Food & Beverage|Food Industry|Food Manufacturing","NDPE [Public List] (NDPE Implementation Reporting Framework (IRF) September 2023 Refinery Facility List)","","Wilmar","Refinery | Manufacturing Plant","","Refinery|Manufacturing Plant","","False"
"CN2023265RN5YAZ","2023-09-22","Wilmar Oleochemicals (Dongguan).Co.,Ltd","Machong Xinsha Industrial Zone, Dongguan, Guangdong, China","CN","China",23.014,113.542,"Food|Food & Beverage|Food Industry|Food Manufacturing","NDPE [Public List] (NDPE Implementation Reporting Framework (IRF) September 2023 Refinery Facility List)","","Wilmar","Refinery | Manufacturing Plant","","Refinery|Manufacturing Plant","","False"
"CN20232652RFBZR","2023-09-22","Wilmar Oleochemicals (Lianyungang).Co.,Ltd","DaGang Road, XuGou Lian YunGang, Jiangsu, China East Road, Huanghai Avenue, Development Zone, Lianyungang, China","CN","China",34.748,119.383,"Food|Food & Beverage|Food Industry|Food Manufacturing","NDPE [Public List] (NDPE Implementation Reporting Framework (IRF) September 2023 Refinery Facility List)","","Wilmar","Refinery | Manufacturing Plant","","Refinery|Manufacturing Plant","","False"
"CN2023265Z4R5MS","2023-09-22","Wilmar Oleochemicals (Shanghai).Co.,Ltd","No.118, Gaodong Road, Pudong New District, Shanghai City, China","CN","China",31.342,121.617,"Food|Food & Beverage|Food Industry|Food Manufacturing","NDPE [Public List] (NDPE Implementation Reporting Framework (IRF) September 2023 Refinery Facility List)","","Wilmar","Refinery | Manufacturing Plant","","Refinery|Manufacturing Plant","","False"
"CN20232927N8XNV","2023-10-19","Wilmar Oleo (Dongguan) Co. Ltd","No.6 Wen Wu Yong Road, Ma Chong Town, Dongguan City, Guangdong Province 523147","CN","China",23.051137,113.581134,"Agriculture|Food|Food & Beverage|Food Manufacturing","An Auditor / Certification Scheme / Service Provider|Roundtable on Sustainable Palm Oil (RSPO) [Public List] (Roundtable on Sustainable Palm Oil September 2022)","","Wilmar International Limited","","","","","False"
"US2022299B0HWRJ","2023-10-23","Wilmar Oleo North America Llc","11200 Broadway Street, Suite 2338 77584 Pearland Texas United States","US","United States",29.5528564,-95.39439109999999,"Agriculture|Food|Food & Beverage|Food Manufacturing","An Auditor / Certification Scheme / Service Provider|An Auditor / Certification Scheme / Service Provider|Roundtable on Sustainable Palm Oil (RSPO) [Public List] (Roundtable on Sustainable Palm Oil September 2022)|An Auditor / Certification Scheme / Service Provider","","Wilmar International Limited","","","","","False"
"MX2022300V6T0Q0","2023-10-23","Wilmar Oleo Químicos S. De R.L. De C.V.","Av Insurgentes Sur No. 1787 No. Int Piso 4 Colonia: Guadalupe Inn,C.P. 01020 Ciudad De Delegacion:Alvaro Obregon Mexico Mexico","MX","Mexico",19.3576588,-99.184519,"Agriculture|Food|Food & Beverage|Food Manufacturing","An Auditor / Certification Scheme / Service Provider|An Auditor / Certification Scheme / Service Provider|Roundtable on Sustainable Palm Oil (RSPO) [Public List] (Roundtable on Sustainable Palm Oil September 2022)","","Wilmar International Limited","","","","","False"
"ZA2022300WPRFHE","2023-09-22","Wilmar SA (Pty) Limited","144 Main Reef Road, Randfontein, Johannesburg, P.O Box 208 1760, South Africa","ZA","South Africa",-26.1651609,27.7108344,"Agriculture|Food|Food & Beverage|Food Industry|Food Manufacturing","An Auditor / Certification Scheme / Service Provider|NDPE [Public List] (NDPE Implementation Reporting Framework (IRF) September 2023 Refinery Facility List)|Roundtable on Sustainable Palm Oil (RSPO) [Public List] (Roundtable on Sustainable Palm Oil September 2022)|An Auditor / Certification Scheme / Service Provider","","Wilmar|Wilmar International Limited","Refinery | Manufacturing Plant","","Refinery|Manufacturing Plant","","False"
"CN202230058PR9Y","2023-10-23","Wilmar Surfactant Material (Lianyungang ) Co. Ltd ","No.16, Xianghe Road, Banqiao Industries Park, Lianyungang Jiangsu, China 222066","CN","China",34.633054,119.453916,"Agriculture|Food|Food & Beverage|Food Manufacturing","An Auditor / Certification Scheme / Service Provider|An Auditor / Certification Scheme / Service Provider|An Auditor / Certification Scheme / Service Provider|Roundtable on Sustainable Palm Oil (RSPO) [Public List] (Roundtable on Sustainable Palm Oil September 2022)","","Wilmar International Limited","","","","","False"
"SG2023292R1YE0K","2023-10-19","Wilmar Trading Pte Ltd","28 Biopolis Road 138568 Singapore Singapore","SG","Singapore",1.3008056,103.7914302,"Agriculture|Food|Food & Beverage|Food Manufacturing","An Auditor / Certification Scheme / Service Provider|Roundtable on Sustainable Palm Oil (RSPO) [Public List] (Roundtable on Sustainable Palm Oil September 2022)","","Wilmar International Limited","","","","","False"
